         61481043 function calls (52854464 primitive calls) in 11.561 seconds

   Ordered by: cumulative time
   List reduced from 650 to 42 due to restriction <42>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013   10.905   10.905 chat_runs.py:36(start)
     1204    0.022    0.000    8.788    0.007 vault.py:51(read_markdown)
        1    0.003    0.003    5.545    5.545 chat_history.py:51(append)
        9    0.005    0.001    4.926    0.547 chat_history.py:36(get)
7181735/1206    2.364    0.000    4.916    0.004 copy.py:118(deepcopy)
471405/1206    0.865    0.000    4.914    0.004 copy.py:217(_deepcopy_dict)
234123/1966    0.135    0.000    4.854    0.002 copy.py:191(_deepcopy_list)
        1    0.004    0.004    4.681    4.681 chat.py:278(freeze_run_context)
      902    0.013    0.000    3.500    0.004 frontmatter.py:32(loads)
      901    0.029    0.000    3.318    0.004 __init__.py:74(load)
      901    0.691    0.001    3.271    0.004 constructor.py:47(get_single_data)
        1    0.000    0.000    1.922    1.922 context.py:162(build_run_context)
  1465435    1.635    0.000    1.813    0.000 resolver.py:143(resolve)
        5    0.023    0.005    1.745    0.349 workspace.py:489(questions)
        2    0.000    0.000    1.730    0.865 vault.py:113(write_markdown)
        2    0.005    0.003    1.705    0.853 frontmatter.py:63(dumps)
        2    0.000    0.000    1.698    0.849 __init__.py:248(dump)
        2    0.020    0.010    1.698    0.849 __init__.py:215(dump_all)
        2    0.473    0.236    1.670    0.835 representer.py:26(represent)
 456926/2    0.150    0.000    0.968    0.484 representer.py:33(represent_data)
  30188/2    0.006    0.000    0.968    0.484 representer.py:206(represent_dict)
  30188/2    0.338    0.000    0.968    0.484 representer.py:103(represent_mapping)
 14849/48    0.002    0.000    0.966    0.020 representer.py:191(represent_list)
 14849/48    0.016    0.000    0.966    0.020 representer.py:85(represent_sequence)
 16144292    0.875    0.000    0.876    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.865    0.865 experimental_chat.py:57(validate_documents)
        1    0.003    0.003    0.865    0.865 workspace_review.py:656(documents)
      901    0.011    0.000    0.827    0.001 constructor.py:54(construct_document)
79654/64929    0.011    0.000    0.752    0.000 constructor.py:410(construct_yaml_map)
    39827    0.016    0.000    0.737    0.000 constructor.py:215(construct_mapping)
        1    0.000    0.000    0.716    0.716 problem_analysis.py:81(capture)
       79    0.000    0.000    0.698    0.009 vault.py:86(read_document)
    39827    0.084    0.000    0.669    0.000 constructor.py:132(construct_mapping)
        1    0.004    0.004    0.657    0.657 chat.py:28(trusted_chat_actor)
     4547    0.004    0.000    0.654    0.000 vault.py:41(relative)
   616481    0.246    0.000    0.558    0.000 constructor.py:67(construct_object)
     2266    0.002    0.000    0.545    0.000 vault.py:217(<genexpr>)
     7599    0.025    0.000    0.516    0.000 pathlib.py:663(relative_to)
       12    0.001    0.000    0.507    0.042 registry.py:169(list_output_templates)
     1960    0.001    0.000    0.491    0.000 vault.py:221(<genexpr>)
        4    0.001    0.000    0.457    0.114 workspace.py:765(source_revisions)
       12    0.000    0.000    0.453    0.038 registry.py:274(resolve_template_use)


