COMMAND     PID    USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    685 bharris   11u  IPv4 0xe79a2fc746343265      0t0  TCP *:53972 (LISTEN)
rapportd    685 bharris   13u  IPv6   0x6e4658f73b94f3      0t0  TCP *:53972 (LISTEN)
ControlCe   756 bharris   10u  IPv4 0x2729a0245205375c      0t0  TCP *:7000 (LISTEN)
ControlCe   756 bharris   11u  IPv6 0x7a48071d0514022a      0t0  TCP *:7000 (LISTEN)
ControlCe   756 bharris   12u  IPv4 0x1636a2d8bec7744c      0t0  TCP *:5000 (LISTEN)
ControlCe   756 bharris   13u  IPv6 0x9ef420c64714413f      0t0  TCP *:5000 (LISTEN)
node       1331 bharris   14u  IPv4 0x71b33d4edff5c179      0t0  TCP 127.0.0.1:3458 (LISTEN)
node       1340 bharris   14u  IPv4 0xb91ed0af2d88ac98      0t0  TCP 127.0.0.1:3459 (LISTEN)
node       1342 bharris   14u  IPv4 0xcfa8cdab667b9b4d      0t0  TCP 127.0.0.1:3457 (LISTEN)
Antigravi 17040 bharris   32u  IPv4 0xdc8e3c46bc9abd85      0t0  TCP 127.0.0.1:58205 (LISTEN)
Antigravi 17040 bharris   37u  IPv4 0x7b0d8d369ebed999      0t0  TCP 127.0.0.1:58207 (LISTEN)
Antigravi 17040 bharris   67u  IPv4 0x23a3fc70ef09bbc8      0t0  TCP 127.0.0.1:63427 (LISTEN)
language_ 17060 bharris    7u  IPv4 0xa6f81a227d099383      0t0  TCP 127.0.0.1:58208 (LISTEN)
language_ 17060 bharris    8u  IPv4 0xc2402644f4d505d1      0t0  TCP 127.0.0.1:58209 (LISTEN)
Google    25770 bharris  248u  IPv4 0x3d6081825df2b0d6      0t0  TCP 127.0.0.1:9222 (LISTEN)
limactl   28170 bharris   14u  IPv4 0xcc0fdc9c0c83e403      0t0  TCP 127.0.0.1:64456 (LISTEN)
limactl   28174 bharris   12u  IPv6 0x54e85768ee049a76      0t0  TCP *:53 (LISTEN)
ssh       28187 bharris   11u  IPv4 0x30c36210f060132b      0t0  TCP 127.0.0.1:8080 (LISTEN)
python3.1 31279 bharris   10u  IPv4  0xe15258f352e6e32      0t0  TCP 127.0.0.1:49486 (LISTEN)
Python    32281 bharris    5u  IPv6 0x88f1b281d3acc33e      0t0  TCP *:8002 (LISTEN)
Python    45767 bharris    4u  IPv4 0x76530656dc85798d      0t0  TCP 127.0.0.1:8090 (LISTEN)
GeForceNO 50788 bharris    8u  IPv4 0xdf4babbe8c9dc321      0t0  TCP 127.0.0.1:58399 (LISTEN)
OpenCode  54525 bharris   45u  IPv4 0xfe34342d3e356e94      0t0  TCP 127.0.0.1:51242 (LISTEN)
OpenCode  54543 bharris   29u  IPv4 0x410a81e801629f2b      0t0  TCP 127.0.0.1:51211 (LISTEN)
python3.1 72061 bharris    3u  IPv4 0xd41de5d6f47dced9      0t0  TCP 127.0.0.1:8000 (LISTEN)
node      72084 bharris   13u  IPv4 0x168c9b5fa1e40da8      0t0  TCP 127.0.0.1:3000 (LISTEN)
python3.1 81019 bharris    3u  IPv4 0xd41de5d6f47dced9      0t0  TCP 127.0.0.1:8000 (LISTEN)
python    82005 bharris    8u  IPv4  0xe16a6ad5f7ae8ce      0t0  TCP 127.0.0.1:55624 (LISTEN)
