         26287586 function calls (26117846 primitive calls) in 4.421 seconds

   Ordered by: cumulative time
   List reduced from 356 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.421    4.421 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads_after.py:11(<lambda>)
        1    0.000    0.000    4.421    4.421 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:408(impact_candidates)
        1    0.000    0.000    4.421    4.421 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000    4.421    4.421 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:210(candidates)
        1    0.001    0.001    4.420    4.420 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:110(_catalog)
      161    0.001    0.000    4.239    0.026 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      161    0.001    0.000    4.185    0.026 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      161    0.000    0.000    4.170    0.026 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      161    0.008    0.000    4.170    0.026 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      161    0.000    0.000    4.151    0.026 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      161    0.000    0.000    4.005    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      161    0.000    0.000    4.000    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
116358/161    0.093    0.000    3.999    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 7172/161    0.037    0.000    3.997    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   319986    0.065    0.000    3.696    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
   855263    0.218    0.000    3.119    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
 2602/624    0.004    0.000    3.101    0.005 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
   171905    0.141    0.000    2.456    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
       91    0.000    0.000    2.181    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:44(read_document)
    55961    0.032    0.000    2.115    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
        1    0.001    0.001    2.107    2.107 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_evidence.py:108(library)
    62524    0.038    0.000    1.340    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
    97277    0.039    0.000    1.228    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
    97277    0.350    0.000    1.117    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1270(scan_plain)
   116358    0.144    0.000    0.678    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:273(parse_node)
   111922    0.022    0.000    0.668    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
     9293    0.002    0.000    0.625    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:651(fetch_single)
     9299    0.005    0.000    0.624    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
     9299    0.069    0.000    0.618    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
  1395512    0.274    0.000    0.530    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:145(need_more_tokens)
  1238235    0.399    0.000    0.444    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:99(forward)
   152726    0.166    0.000    0.375    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
   141117    0.134    0.000    0.301    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1185(scan_flow_scalar_non_spaces)
  6278399    0.274    0.000    0.274    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:87(peek)
        1    0.000    0.000    0.244    0.244 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/work_product.py:335(reference)
   131818    0.074    0.000    0.211    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1228(scan_flow_scalar_spaces)
  1449965    0.205    0.000    0.205    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
   171905    0.089    0.000    0.197    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:752(scan_to_next_token)
   241153    0.054    0.000    0.162    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:135(get_token)
    55961    0.065    0.000    0.159    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:545(fetch_value)
      161    0.001    0.000    0.146    0.001 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:54(construct_document)
   106576    0.057    0.000    0.141    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:88(compose_scalar_node)
14344/11047    0.002    0.000    0.139    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:410(construct_yaml_map)
     7172    0.003    0.000    0.137    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:215(construct_mapping)
   462344    0.095    0.000    0.136    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:114(get_mark)


