         64028629 function calls (63604917 primitive calls) in 10.437 seconds

   Ordered by: cumulative time
   List reduced from 356 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.437   10.437 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads.py:11(<lambda>)
        1    0.000    0.000   10.437   10.437 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:408(impact_candidates)
        1    0.000    0.000   10.437   10.437 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000   10.437   10.437 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:210(candidates)
        1    0.001    0.001   10.437   10.437 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:110(_catalog)
      227    0.002    0.000   10.247    0.045 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      227    0.002    0.000   10.053    0.044 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      227    0.000    0.000   10.021    0.044 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      227    0.021    0.000   10.021    0.044 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      227    0.000    0.000    9.976    0.044 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      227    0.000    0.000    9.580    0.042 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      227    0.000    0.000    9.573    0.042 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
345975/227    0.257    0.000    9.573    0.042 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
24853/227    0.102    0.000    9.570    0.042 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   955522    0.182    0.000    8.767    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
3058/1080    0.010    0.000    8.408    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
      157    0.000    0.000    8.266    0.053 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:44(read_document)
        1    0.003    0.003    8.209    8.209 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_evidence.py:108(library)
  2553853    0.617    0.000    7.144    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
   506324    0.384    0.000    5.269    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
   163297    0.088    0.000    4.270    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
   187409    0.108    0.000    3.720    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
   257145    0.098    0.000    2.622    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
   257145    0.776    0.000    2.333    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1270(scan_plain)
   345975    0.404    0.000    1.958    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:273(parse_node)
   326594    0.059    0.000    1.882    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
  4153585    0.760    0.000    1.498    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:145(need_more_tokens)
    60905    0.011    0.000    0.953    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:651(fetch_single)
    60911    0.024    0.000    0.943    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
    60911    0.139    0.000    0.910    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
  2473084    0.785    0.000    0.876    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:99(forward)
   326853    0.304    0.000    0.699    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
   506324    0.256    0.000    0.598    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:752(scan_to_next_token)
  4314846    0.594    0.000    0.594    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
 12900303    0.558    0.000    0.558    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:87(peek)
    20166    0.012    0.000    0.495    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:402(parse_indentless_sequence_entry)
   718072    0.153    0.000    0.459    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:135(get_token)
   163297    0.194    0.000    0.422    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:545(fetch_value)
   222433    0.188    0.000    0.410    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1185(scan_flow_scalar_non_spaces)
      227    0.003    0.000    0.396    0.002 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:54(construct_document)
49706/43673    0.006    0.000    0.377    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:410(construct_yaml_map)
    24853    0.009    0.000    0.368    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:215(construct_mapping)
  1270326    0.249    0.000    0.360    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:114(get_mark)
   318056    0.155    0.000    0.353    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:88(compose_scalar_node)
    24853    0.044    0.000    0.333    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:132(construct_mapping)


