         26152444 function calls (25990118 primitive calls) in 4.205 seconds

   Ordered by: cumulative time
   List reduced from 357 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.205    4.205 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_read_filter_probe.py:15(<lambda>)
        1    0.000    0.000    4.205    4.205 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:408(impact_candidates)
        1    0.000    0.000    4.205    4.205 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000    4.205    4.205 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:210(candidates)
        1    0.001    0.001    4.205    4.205 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/change_impact.py:110(_catalog)
      161    0.001    0.000    4.058    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      161    0.001    0.000    4.005    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      161    0.000    0.000    3.990    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      161    0.007    0.000    3.990    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      161    0.000    0.000    3.972    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      161    0.000    0.000    3.823    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      161    0.000    0.000    3.818    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
116358/161    0.087    0.000    3.818    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 7172/161    0.035    0.000    3.816    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   319986    0.062    0.000    3.525    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
   855263    0.209    0.000    2.976    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
 2602/624    0.004    0.000    2.959    0.005 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
