         35330777 function calls (35099268 primitive calls) in 6.084 seconds

   Ordered by: cumulative time
   List reduced from 423 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.084    6.084 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads_after.py:11(<lambda>)
        1    0.000    0.000    6.084    6.084 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:307(orientation)
      635    0.002    0.000    5.908    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      635    0.003    0.000    5.706    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      635    0.000    0.000    5.682    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      635    0.011    0.000    5.682    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      635    0.000    0.000    5.655    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      635    0.001    0.000    5.449    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      635    0.000    0.000    5.430    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
158277/635    0.126    0.000    5.428    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 8038/635    0.049    0.000    5.421    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   430348    0.088    0.000    5.026    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
  1154373    0.302    0.000    4.236    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
3600/1043    0.005    0.000    3.610    0.003 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
        2    0.000    0.000    3.468    1.734 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000    3.466    3.466 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_orientation.py:35(get)
   234444    0.194    0.000    3.337    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    3.242    3.242 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
