         73012246 function calls (72528868 primitive calls) in 11.907 seconds

   Ordered by: cumulative time
   List reduced from 423 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.907   11.907 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads.py:11(<lambda>)
        1    0.000    0.000   11.907   11.907 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:307(orientation)
      701    0.003    0.000   11.745    0.017 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      701    0.004    0.000   11.382    0.016 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      701    0.000    0.000   11.342    0.016 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      701    0.024    0.000   11.342    0.016 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      701    0.000    0.000   11.291    0.016 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      701    0.001    0.000   10.842    0.015 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      701    0.000    0.000   10.823    0.015 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
387894/701    0.289    0.000   10.821    0.015 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
25719/701    0.112    0.000   10.814    0.015 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
  1065884    0.203    0.000    9.925    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
        2    0.000    0.000    9.567    4.783 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000    9.565    9.565 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_orientation.py:35(get)
        1    0.000    0.000    9.332    9.332 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
        1    0.000    0.000    9.332    9.332 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:676(get)
