         35270435 function calls (35043229 primitive calls) in 5.708 seconds

   Ordered by: cumulative time
   List reduced from 424 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.708    5.708 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_read_filter_probe.py:15(<lambda>)
        1    0.000    0.000    5.708    5.708 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:307(orientation)
      635    0.002    0.000    5.557    0.009 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      635    0.003    0.000    5.366    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      635    0.000    0.000    5.344    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      635    0.010    0.000    5.343    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      635    0.000    0.000    5.317    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      635    0.001    0.000    5.126    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      635    0.000    0.000    5.108    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
158277/635    0.117    0.000    5.107    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 8038/635    0.046    0.000    5.100    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   430348    0.083    0.000    4.728    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
  1154373    0.283    0.000    3.986    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
3600/1043    0.005    0.000    3.432    0.003 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
        2    0.000    0.000    3.353    1.677 /Users/bharris/Programs/counsel-os-mvp/backend/app/routers/workspace.py:14(invoke)
        1    0.000    0.000    3.352    3.352 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_orientation.py:35(get)
   234444    0.180    0.000    3.153    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    3.138    3.138 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
        1    0.000    0.000    3.138    3.138 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:676(get)
    76425    0.042    0.000    2.691    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
        1    0.000    0.000    2.044    2.044 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:645(recap)
        2    0.000    0.000    1.992    0.996 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:381(questions)
        1    0.001    0.001    1.964    1.964 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:625(_output_revisions)
    83752    0.049    0.000    1.729    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
   134900    0.062    0.000    1.682    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
   134900    0.493    0.000    1.526    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1270(scan_plain)
        1    0.000    0.000    1.267    1.267 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_team.py:507(queue)
        1    0.000    0.000    1.036    1.036 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/fact_requests.py:109(list)
       58    0.001    0.000    1.029    0.018 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_team.py:94(_matter)
        1    0.000    0.000    1.009    1.009 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/fact_requests.py:87(_project_stale)
       45    0.000    0.000    0.925    0.021 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace_team.py:125(scope)
   158277    0.185    0.000    0.868    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:273(parse_node)
   152850    0.028    0.000    0.859    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
    11716    0.002    0.000    0.701    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:651(fetch_single)
    11732    0.005    0.000    0.700    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
    11732    0.075    0.000    0.693    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
  1887484    0.350    0.000    0.660    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:145(need_more_tokens)
  1565144    0.509    0.000    0.564    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:99(forward)
   218894    0.210    0.000    0.480    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
