         19719773 function calls (19607149 primitive calls) in 3.705 seconds

   Ordered by: cumulative time
   List reduced from 350 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.705    3.705 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads_after.py:11(<lambda>)
        1    0.000    0.000    3.705    3.705 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
        1    0.000    0.000    3.705    3.705 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:681(get)
      123    0.002    0.000    3.634    0.030 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      123    0.001    0.000    3.587    0.029 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      123    0.000    0.000    3.573    0.029 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      123    0.010    0.000    3.573    0.029 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      123    0.000    0.000    3.553    0.029 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      123    0.000    0.000    3.413    0.028 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      123    0.000    0.000    3.409    0.028 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
86045/123    0.076    0.000    3.409    0.028 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 5083/123    0.031    0.000    3.407    0.028 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   236584    0.053    0.000    3.157    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
 2273/473    0.004    0.000    2.711    0.006 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
   631522    0.179    0.000    2.680    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
        1    0.000    0.000    2.359    2.359 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:650(recap)
        1    0.001    0.001    2.265    2.265 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:625(_output_revisions)
   127403    0.116    0.000    2.155    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
    41463    0.027    0.000    1.837    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
        1    0.001    0.001    1.243    1.243 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:381(questions)
    46042    0.031    0.000    1.120    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
    73103    0.032    0.000    1.063    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
    73103    0.298    0.000    0.969    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1270(scan_plain)
     5572    0.001    0.000    0.561    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:651(fetch_single)
     5580    0.003    0.000    0.561    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
     5580    0.060    0.000    0.557    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
    86045    0.119    0.000    0.546    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:273(parse_node)
    82926    0.018    0.000    0.539    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
  1031421    0.225    0.000    0.417    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:145(need_more_tokens)
   985531    0.350    0.000    0.389    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:99(forward)
   120224    0.146    0.000    0.333    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
   112872    0.121    0.000    0.272    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1185(scan_flow_scalar_non_spaces)
  4905279    0.239    0.000    0.239    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:87(peek)
   107292    0.067    0.000    0.193    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1228(scan_flow_scalar_spaces)
    41463    0.055    0.000    0.167    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:545(fetch_value)
   127403    0.072    0.000    0.161    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:752(scan_to_next_token)
  1071705    0.151    0.000    0.151    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
      123    0.001    0.000    0.140    0.001 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:54(construct_document)
10166/7569    0.002    0.000    0.133    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:410(construct_yaml_map)
   178147    0.044    0.000    0.133    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:135(get_token)
        2    0.000    0.000    0.133    0.066 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:587(source_revisions)
     5083    0.002    0.000    0.131    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:215(construct_mapping)
   581733    0.096    0.000    0.120    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:94(prefix)
    78683    0.047    0.000    0.119    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:88(compose_scalar_node)
   348602    0.081    0.000    0.118    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:114(get_mark)


