         57401242 function calls (57036749 primitive calls) in 9.132 seconds

   Ordered by: cumulative time
   List reduced from 350 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.132    9.132 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_reads.py:11(<lambda>)
        1    0.000    0.000    9.132    9.132 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
        1    0.000    0.000    9.132    9.132 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:676(get)
      189    0.002    0.000    9.075    0.048 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      189    0.002    0.000    8.999    0.048 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      189    0.000    0.000    8.971    0.047 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      189    0.019    0.000    8.971    0.047 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      189    0.000    0.000    8.932    0.047 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      189    0.000    0.000    8.563    0.045 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      189    0.000    0.000    8.558    0.045 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
315662/189    0.235    0.000    8.557    0.045 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
22764/189    0.092    0.000    8.555    0.045 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
        1    0.000    0.000    8.082    8.082 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:645(recap)
        1    0.002    0.002    8.005    8.005 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:625(_output_revisions)
   872120    0.164    0.000    7.828    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
 2729/929    0.009    0.000    7.677    0.008 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
  2330112    0.552    0.000    6.368    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
   461822    0.347    0.000    4.675    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
   148799    0.078    0.000    3.756    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
   170927    0.097    0.000    3.358    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
   232971    0.087    0.000    2.312    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
   232971    0.669    0.000    2.053    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1270(scan_plain)
   315662    0.361    0.000    1.767    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:273(parse_node)
   297598    0.054    0.000    1.695    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
  3789494    0.684    0.000    1.359    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:145(need_more_tokens)
        1    0.000    0.000    0.967    0.967 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:381(questions)
    57184    0.010    0.000    0.822    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:651(fetch_single)
    57192    0.022    0.000    0.813    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
    57192    0.124    0.000    0.782    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
  2220380    0.700    0.000    0.781    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/reader.py:99(forward)
   294351    0.271    0.000    0.620    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
   461822    0.235    0.000    0.548    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:752(scan_to_next_token)
