         19655660 function calls (19547339 primitive calls) in 3.130 seconds

   Ordered by: cumulative time
   List reduced from 351 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.130    3.130 /Users/bharris/Programs/counsel-os-mvp/output/lawyer-workflow-expansion-acceptance/profile_read_filter_probe.py:15(<lambda>)
        1    0.000    0.000    3.130    3.130 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/dossier.py:19(call)
        1    0.000    0.000    3.130    3.130 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:676(get)
      123    0.001    0.000    3.084    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/vault.py:33(read_markdown)
      123    0.001    0.000    3.045    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/frontmatter.py:28(loads)
      123    0.000    0.000    3.033    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:117(safe_load)
      123    0.005    0.000    3.033    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/__init__.py:74(load)
      123    0.000    0.000    3.019    0.025 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/constructor.py:47(get_single_data)
      123    0.000    0.000    2.916    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:29(get_single_node)
      123    0.000    0.000    2.913    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:50(compose_document)
86045/123    0.066    0.000    2.912    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:63(compose_node)
 5083/123    0.026    0.000    2.911    0.024 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:117(compose_mapping_node)
   236584    0.046    0.000    2.691    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:94(check_event)
 2273/473    0.003    0.000    2.312    0.005 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/composer.py:99(compose_sequence_node)
   631522    0.154    0.000    2.283    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:113(check_token)
        1    0.000    0.000    2.071    2.071 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:645(recap)
        1    0.001    0.001    1.993    1.993 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:625(_output_revisions)
   127403    0.099    0.000    1.831    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:156(fetch_more_tokens)
    41463    0.023    0.000    1.573    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:446(parse_block_mapping_value)
        1    0.000    0.000    0.976    0.976 /Users/bharris/Programs/counsel-os-mvp/backend/app/services/workspace.py:381(questions)
    46042    0.027    0.000    0.950    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/parser.py:427(parse_block_mapping_key)
    73103    0.028    0.000    0.914    0.000 /Users/bharris/Programs/counsel-os-mvp/backend/.venv/lib/python3.12/site-packages/yaml/scanner.py:668(fetch_plain)
